image,superclass_index,subclass_index,description
985.jpg,2,61,"nature photograph of a reptile, specifically a common newt, Triturus vulgaris, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
986.jpg,2,44,"nature photograph of a reptile, specifically a hognose snake, puff adder, sand viper, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
987.jpg,2,50,"nature photograph of a reptile, specifically a European fire salamander, Salamandra salamandra, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
988.jpg,2,39,"nature photograph of a reptile, specifically a frilled lizard, Chlamydosaurus kingi, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
989.jpg,2,39,"nature photograph of a reptile, specifically a frilled lizard, Chlamydosaurus kingi, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
990.jpg,2,67,"nature photograph of a reptile, specifically a banded gecko, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
991.jpg,1,7,"nature photograph of a dog, specifically a Pekinese, Pekingese, Peke, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
992.jpg,2,58,"nature photograph of a reptile, specifically a African crocodile, Nile crocodile, Crocodylus niloticus, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
993.jpg,0,75,"nature photograph of a bird, specifically a chickadee, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
994.jpg,1,49,"nature photograph of a dog, specifically a bloodhound, sleuthhound, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
995.jpg,1,37,"nature photograph of a dog, specifically a Maltese dog, Maltese terrier, Maltese, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
996.jpg,2,72,"nature photograph of a reptile, specifically a axolotl, mud puppy, Ambystoma mexicanum, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
997.jpg,0,6,"nature photograph of a bird, specifically a ptarmigan, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
998.jpg,0,11,"nature photograph of a bird, specifically a pelican, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
999.jpg,2,58,"nature photograph of a reptile, specifically a African crocodile, Nile crocodile, Crocodylus niloticus, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1000.jpg,1,9,"nature photograph of a dog, specifically a Lhasa, Lhasa apso, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1001.jpg,1,79,"nature photograph of a dog, specifically a Boston bull, Boston terrier, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1002.jpg,0,4,"nature photograph of a bird, specifically a great grey owl, great gray owl, Strix nebulosa, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1003.jpg,1,62,"nature photograph of a dog, specifically a Afghan hound, Afghan, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1004.jpg,1,64,"nature photograph of a dog, specifically a Rhodesian ridgeback, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1005.jpg,1,31,"nature photograph of a dog, specifically a Shih-Tzu, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1006.jpg,1,7,"nature photograph of a dog, specifically a Pekinese, Pekingese, Peke, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1007.jpg,0,4,"nature photograph of a bird, specifically a great grey owl, great gray owl, Strix nebulosa, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1008.jpg,1,0,"nature photograph of a dog, specifically a Scotch terrier, Scottish terrier, Scottie, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1009.jpg,1,64,"nature photograph of a dog, specifically a Rhodesian ridgeback, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1010.jpg,0,30,"nature photograph of a bird, specifically a vulture, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1011.jpg,0,11,"nature photograph of a bird, specifically a pelican, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1012.jpg,1,45,"nature photograph of a dog, specifically a Australian terrier, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1013.jpg,2,66,"nature photograph of a reptile, specifically a green lizard, Lacerta viridis, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1014.jpg,1,7,"nature photograph of a dog, specifically a Pekinese, Pekingese, Peke, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1015.jpg,1,18,"nature photograph of a dog, specifically a Blenheim spaniel, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1016.jpg,1,64,"nature photograph of a dog, specifically a Rhodesian ridgeback, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1017.jpg,2,58,"nature photograph of a reptile, specifically a African crocodile, Nile crocodile, Crocodylus niloticus, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1018.jpg,2,44,"nature photograph of a reptile, specifically a hognose snake, puff adder, sand viper, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1019.jpg,1,21,"nature photograph of a dog, specifically a Chihuahua, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1020.jpg,2,3,"nature photograph of a reptile, specifically a terrapin, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1021.jpg,0,6,"nature photograph of a bird, specifically a ptarmigan, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1022.jpg,2,74,"nature photograph of a reptile, specifically a whiptail, whiptail lizard, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1023.jpg,2,50,"nature photograph of a reptile, specifically a European fire salamander, Salamandra salamandra, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1024.jpg,0,82,"nature photograph of a bird, specifically a ruddy turnstone, Arenaria interpres, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1025.jpg,0,60,"nature photograph of a bird, specifically a goldfinch, Carduelis carduelis, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1026.jpg,0,60,"nature photograph of a bird, specifically a goldfinch, Carduelis carduelis, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1027.jpg,1,7,"nature photograph of a dog, specifically a Pekinese, Pekingese, Peke, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1028.jpg,1,53,"nature photograph of a dog, specifically a soft-coated wheaten terrier, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1029.jpg,2,67,"nature photograph of a reptile, specifically a banded gecko, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1030.jpg,0,6,"nature photograph of a bird, specifically a ptarmigan, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1031.jpg,1,49,"nature photograph of a dog, specifically a bloodhound, sleuthhound, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1032.jpg,2,13,"nature photograph of a reptile, specifically a agama, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1033.jpg,2,61,"nature photograph of a reptile, specifically a common newt, Triturus vulgaris, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1034.jpg,2,29,"nature photograph of a reptile, specifically a spotted salamander, Ambystoma maculatum, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1035.jpg,0,73,"nature photograph of a bird, specifically a dowitcher, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1036.jpg,0,6,"nature photograph of a bird, specifically a ptarmigan, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1037.jpg,1,36,"nature photograph of a dog, specifically a basset, basset hound, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1038.jpg,1,31,"nature photograph of a dog, specifically a Shih-Tzu, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1039.jpg,0,75,"nature photograph of a bird, specifically a chickadee, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1040.jpg,0,27,"nature photograph of a bird, specifically a water ouzel, dipper, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1041.jpg,0,20,"nature photograph of a bird, specifically a king penguin, Aptenodytes patagonica, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1042.jpg,2,50,"nature photograph of a reptile, specifically a European fire salamander, Salamandra salamandra, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1043.jpg,1,38,"nature photograph of a dog, specifically a Sealyham terrier, Sealyham, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1044.jpg,1,22,"nature photograph of a dog, specifically a Japanese spaniel, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1045.jpg,0,19,"nature photograph of a bird, specifically a brambling, Fringilla montifringilla, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1046.jpg,2,44,"nature photograph of a reptile, specifically a hognose snake, puff adder, sand viper, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1047.jpg,2,58,"nature photograph of a reptile, specifically a African crocodile, Nile crocodile, Crocodylus niloticus, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1048.jpg,0,20,"nature photograph of a bird, specifically a king penguin, Aptenodytes patagonica, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1049.jpg,2,1,"nature photograph of a reptile, specifically a African chameleon, Chamaeleo chamaeleon, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1050.jpg,2,35,"nature photograph of a reptile, specifically a thunder snake, worm snake, Carphophis amoenus, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1051.jpg,1,79,"nature photograph of a dog, specifically a Boston bull, Boston terrier, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1052.jpg,1,25,"nature photograph of a dog, specifically a Airedale, Airedale terrier, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1053.jpg,1,70,"nature photograph of a dog, specifically a toy terrier, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1054.jpg,1,22,"nature photograph of a dog, specifically a Japanese spaniel, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1055.jpg,0,40,"nature photograph of a bird, specifically a red-backed sandpiper, dunlin, Erolia alpina, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1056.jpg,2,44,"nature photograph of a reptile, specifically a hognose snake, puff adder, sand viper, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1057.jpg,2,69,"nature photograph of a reptile, specifically a tree frog, tree-frog, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1058.jpg,0,26,"nature photograph of a bird, specifically a albatross, mollymawk, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1059.jpg,1,77,"nature photograph of a dog, specifically a silky terrier, Sydney silky, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1060.jpg,0,24,"nature photograph of a bird, specifically a bald eagle, American eagle, Haliaeetus leucocephalus, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1061.jpg,1,23,"nature photograph of a dog, specifically a Dandie Dinmont, Dandie Dinmont terrier, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1062.jpg,0,59,"nature photograph of a bird, specifically a house finch, linnet, Carpodacus mexicanus, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1063.jpg,2,63,"nature photograph of a reptile, specifically a bullfrog, Rana catesbeiana, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1064.jpg,2,50,"nature photograph of a reptile, specifically a European fire salamander, Salamandra salamandra, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1065.jpg,1,18,"nature photograph of a dog, specifically a Blenheim spaniel, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1066.jpg,1,23,"nature photograph of a dog, specifically a Dandie Dinmont, Dandie Dinmont terrier, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1067.jpg,1,23,"nature photograph of a dog, specifically a Dandie Dinmont, Dandie Dinmont terrier, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1068.jpg,2,1,"nature photograph of a reptile, specifically a African chameleon, Chamaeleo chamaeleon, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1069.jpg,1,49,"nature photograph of a dog, specifically a bloodhound, sleuthhound, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1070.jpg,1,36,"nature photograph of a dog, specifically a basset, basset hound, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1071.jpg,1,46,"nature photograph of a dog, specifically a papillon, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1072.jpg,0,28,"nature photograph of a bird, specifically a black grouse, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1073.jpg,2,43,"nature photograph of a reptile, specifically a American alligator, Alligator mississipiensis, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1074.jpg,1,36,"nature photograph of a dog, specifically a basset, basset hound, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1075.jpg,1,53,"nature photograph of a dog, specifically a soft-coated wheaten terrier, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1076.jpg,2,29,"nature photograph of a reptile, specifically a spotted salamander, Ambystoma maculatum, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1077.jpg,1,37,"nature photograph of a dog, specifically a Maltese dog, Maltese terrier, Maltese, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1078.jpg,2,3,"nature photograph of a reptile, specifically a terrapin, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1079.jpg,1,21,"nature photograph of a dog, specifically a Chihuahua, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1080.jpg,0,6,"nature photograph of a bird, specifically a ptarmigan, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1081.jpg,1,17,"nature photograph of a dog, specifically a cairn, cairn terrier, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1082.jpg,1,77,"nature photograph of a dog, specifically a silky terrier, Sydney silky, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1083.jpg,2,29,"nature photograph of a reptile, specifically a spotted salamander, Ambystoma maculatum, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1084.jpg,2,61,"nature photograph of a reptile, specifically a common newt, Triturus vulgaris, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1085.jpg,0,14,"nature photograph of a bird, specifically a junco, snowbird, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1086.jpg,2,44,"nature photograph of a reptile, specifically a hognose snake, puff adder, sand viper, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1087.jpg,0,83,"nature photograph of a bird, specifically a robin, American robin, Turdus migratorius, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1088.jpg,0,82,"nature photograph of a bird, specifically a ruddy turnstone, Arenaria interpres, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1089.jpg,1,85,"nature photograph of a dog, specifically a miniature schnauzer, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1090.jpg,0,14,"nature photograph of a bird, specifically a junco, snowbird, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1091.jpg,1,18,"nature photograph of a dog, specifically a Blenheim spaniel, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1092.jpg,1,37,"nature photograph of a dog, specifically a Maltese dog, Maltese terrier, Maltese, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1093.jpg,1,2,"nature photograph of a dog, specifically a standard schnauzer, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1094.jpg,2,29,"nature photograph of a reptile, specifically a spotted salamander, Ambystoma maculatum, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1095.jpg,2,71,"nature photograph of a reptile, specifically a Gila monster, Heloderma suspectum, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1096.jpg,1,45,"nature photograph of a dog, specifically a Australian terrier, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1097.jpg,2,3,"nature photograph of a reptile, specifically a terrapin, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1098.jpg,2,57,"nature photograph of a reptile, specifically a alligator lizard, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1099.jpg,2,39,"nature photograph of a reptile, specifically a frilled lizard, Chlamydosaurus kingi, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1100.jpg,2,34,"nature photograph of a reptile, specifically a tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1101.jpg,2,57,"nature photograph of a reptile, specifically a alligator lizard, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1102.jpg,0,56,"nature photograph of a bird, specifically a bulbul, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1103.jpg,0,30,"nature photograph of a bird, specifically a vulture, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1104.jpg,1,10,"nature photograph of a dog, specifically a Lakeland terrier, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1105.jpg,0,27,"nature photograph of a bird, specifically a water ouzel, dipper, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1106.jpg,0,78,"nature photograph of a bird, specifically a indigo bunting, indigo finch, indigo bird, Passerina cyanea, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1107.jpg,0,73,"nature photograph of a bird, specifically a dowitcher, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1108.jpg,2,71,"nature photograph of a reptile, specifically a Gila monster, Heloderma suspectum, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1109.jpg,2,71,"nature photograph of a reptile, specifically a Gila monster, Heloderma suspectum, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1110.jpg,0,40,"nature photograph of a bird, specifically a red-backed sandpiper, dunlin, Erolia alpina, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1111.jpg,1,64,"nature photograph of a dog, specifically a Rhodesian ridgeback, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1112.jpg,2,76,"nature photograph of a reptile, specifically a green snake, grass snake, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1113.jpg,0,60,"nature photograph of a bird, specifically a goldfinch, Carduelis carduelis, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1114.jpg,2,58,"nature photograph of a reptile, specifically a African crocodile, Nile crocodile, Crocodylus niloticus, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1115.jpg,0,73,"nature photograph of a bird, specifically a dowitcher, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1116.jpg,0,83,"nature photograph of a bird, specifically a robin, American robin, Turdus migratorius, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1117.jpg,0,6,"nature photograph of a bird, specifically a ptarmigan, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1118.jpg,1,0,"nature photograph of a dog, specifically a Scotch terrier, Scottish terrier, Scottie, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1119.jpg,2,66,"nature photograph of a reptile, specifically a green lizard, Lacerta viridis, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1120.jpg,2,44,"nature photograph of a reptile, specifically a hognose snake, puff adder, sand viper, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1121.jpg,2,58,"nature photograph of a reptile, specifically a African crocodile, Nile crocodile, Crocodylus niloticus, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1122.jpg,1,38,"nature photograph of a dog, specifically a Sealyham terrier, Sealyham, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1123.jpg,0,73,"nature photograph of a bird, specifically a dowitcher, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1124.jpg,2,52,"nature photograph of a reptile, specifically a triceratops, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1125.jpg,0,86,"nature photograph of a bird, specifically a European gallinule, Porphyrio porphyrio, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1126.jpg,1,10,"nature photograph of a dog, specifically a Lakeland terrier, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1127.jpg,2,69,"nature photograph of a reptile, specifically a tree frog, tree-frog, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1128.jpg,2,69,"nature photograph of a reptile, specifically a tree frog, tree-frog, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1129.jpg,2,1,"nature photograph of a reptile, specifically a African chameleon, Chamaeleo chamaeleon, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1130.jpg,0,75,"nature photograph of a bird, specifically a chickadee, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1131.jpg,2,66,"nature photograph of a reptile, specifically a green lizard, Lacerta viridis, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1132.jpg,1,65,"nature photograph of a dog, specifically a beagle, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1133.jpg,2,66,"nature photograph of a reptile, specifically a green lizard, Lacerta viridis, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1134.jpg,1,65,"nature photograph of a dog, specifically a beagle, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1135.jpg,0,30,"nature photograph of a bird, specifically a vulture, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1136.jpg,2,44,"nature photograph of a reptile, specifically a hognose snake, puff adder, sand viper, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1137.jpg,2,35,"nature photograph of a reptile, specifically a thunder snake, worm snake, Carphophis amoenus, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1138.jpg,1,7,"nature photograph of a dog, specifically a Pekinese, Pekingese, Peke, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1139.jpg,2,44,"nature photograph of a reptile, specifically a hognose snake, puff adder, sand viper, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1140.jpg,1,18,"nature photograph of a dog, specifically a Blenheim spaniel, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1141.jpg,2,29,"nature photograph of a reptile, specifically a spotted salamander, Ambystoma maculatum, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1142.jpg,0,11,"nature photograph of a bird, specifically a pelican, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1143.jpg,2,61,"nature photograph of a reptile, specifically a common newt, Triturus vulgaris, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1144.jpg,1,18,"nature photograph of a dog, specifically a Blenheim spaniel, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1145.jpg,2,52,"nature photograph of a reptile, specifically a triceratops, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1146.jpg,1,18,"nature photograph of a dog, specifically a Blenheim spaniel, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1147.jpg,2,39,"nature photograph of a reptile, specifically a frilled lizard, Chlamydosaurus kingi, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1148.jpg,2,74,"nature photograph of a reptile, specifically a whiptail, whiptail lizard, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1149.jpg,2,81,"nature photograph of a reptile, specifically a ringneck snake, ring-necked snake, ring snake, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1150.jpg,0,84,"nature photograph of a bird, specifically a magpie, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1151.jpg,0,30,"nature photograph of a bird, specifically a vulture, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1152.jpg,0,24,"nature photograph of a bird, specifically a bald eagle, American eagle, Haliaeetus leucocephalus, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1153.jpg,2,81,"nature photograph of a reptile, specifically a ringneck snake, ring-necked snake, ring snake, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1154.jpg,1,21,"nature photograph of a dog, specifically a Chihuahua, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1155.jpg,2,39,"nature photograph of a reptile, specifically a frilled lizard, Chlamydosaurus kingi, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1156.jpg,2,35,"nature photograph of a reptile, specifically a thunder snake, worm snake, Carphophis amoenus, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1157.jpg,0,5,"nature photograph of a bird, specifically a bustard, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1158.jpg,1,7,"nature photograph of a dog, specifically a Pekinese, Pekingese, Peke, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1159.jpg,1,37,"nature photograph of a dog, specifically a Maltese dog, Maltese terrier, Maltese, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1160.jpg,2,57,"nature photograph of a reptile, specifically a alligator lizard, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1161.jpg,1,70,"nature photograph of a dog, specifically a toy terrier, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1162.jpg,2,76,"nature photograph of a reptile, specifically a green snake, grass snake, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1163.jpg,1,64,"nature photograph of a dog, specifically a Rhodesian ridgeback, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1164.jpg,1,49,"nature photograph of a dog, specifically a bloodhound, sleuthhound, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1165.jpg,2,66,"nature photograph of a reptile, specifically a green lizard, Lacerta viridis, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1166.jpg,1,9,"nature photograph of a dog, specifically a Lhasa, Lhasa apso, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1167.jpg,2,81,"nature photograph of a reptile, specifically a ringneck snake, ring-necked snake, ring snake, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1168.jpg,2,13,"nature photograph of a reptile, specifically a agama, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1169.jpg,2,43,"nature photograph of a reptile, specifically a American alligator, Alligator mississipiensis, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1170.jpg,2,44,"nature photograph of a reptile, specifically a hognose snake, puff adder, sand viper, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1171.jpg,0,19,"nature photograph of a bird, specifically a brambling, Fringilla montifringilla, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1172.jpg,0,42,"nature photograph of a bird, specifically a oystercatcher, oyster catcher, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1173.jpg,0,60,"nature photograph of a bird, specifically a goldfinch, Carduelis carduelis, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1174.jpg,1,64,"nature photograph of a dog, specifically a Rhodesian ridgeback, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1175.jpg,2,47,"nature photograph of a reptile, specifically a Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1176.jpg,2,44,"nature photograph of a reptile, specifically a hognose snake, puff adder, sand viper, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
